phenotype	description	N	N_case	N_control	prevelence	mean_chi2	lambdaGC	intercept	intercept_se	intercept_z	intercept_p	ratio	ratio_se	h2_observed	h2_observed_se	h2_liability	h2_liability_se	h2_z	h2_p	base::Prop_SNPs
4609	Longest period of depression	46884	NA	NA	NA	1.02505079275	1.01635559889	1.00121849517	0.0092494017489	0.131737728296	0.447595871352	0.048640982600268515	0.36922590991527	0.0187431777053	0.0168481553476	0.0187431777053	0.0168481553476	1.11247654824	0.132966653999	1.0
5441_2	Which eye(s) are affected by cataract: Left eye	3882	699	3183	0.180062	0.997178120898	0.992641056396	1.01211661398	0.00921477535289	1.31491148883	0.0942698255539	NA	NA	-0.329851555017	0.199062686454	-0.706978629202	0.426655757882	-1.65702352808	0.951242640816	1.0
4803_13	Tinnitus: Yes, now some of the time	109411	9796	99615	0.089534	1.01843953231	1.02500453429	0.9936002995	0.00821055774889	-0.779447717848	0.782141987993	-0.3470641442271266	0.44526930579178603	0.0145758951243	0.00678647761133	0.0454063981092	0.0211410346707	2.14778504536	0.0158654177849	1.0
5540_2	Surgery/amputation of toe or leg: Yes, leg below the knee	24008	67	23941	0.00279074	0.994389364935	0.99811568681	1.01224636233	0.00832771348501	1.47055519583	0.0707057241244	NA	NA	-0.0643972575725	0.0299945439762	-2.43913014732	1.13608248589	-2.14696571562	0.984101994425	1.0
5855_1	Which eye(s) affected by astigmatism: Right eye	8863	1302	7561	0.146903	1.02145605986	1.01319519544	0.993140665361	0.0082335214474	-0.833098532973	0.797605419551	-0.3196921840496171	0.38373874325358226	0.140395012721	0.0822370584269	0.33280987969	0.194944998334	1.70719886395	0.043892548062	1.0
6039	Duration of fitness test	49623	NA	NA	NA	1.02359489982	1.02409057811	0.985551973611	0.00843134636448	-1.71360845164	0.956699669844	-0.6123368397303288	0.35733766318837523	0.060392940887	0.0159033841167	0.060392940887	0.0159033841167	3.79748992062	7.30843591275e-05	1.0
6142_1	Current employment status: In paid employment or self-employed	336252	190779	145473	0.567369	1.07274157969	1.07129575833	1.01355736546	0.00863600456724	1.56986548023	0.0582232049708	0.18637711079111552	0.11872170777585346	0.0103286804958	0.00235183501828	0.0163950155502	0.00373313626186	4.3917538499	5.6219977534e-06	1.0
6143_100	Transport type for commuting to job workplace: None of the above	177550	723	176827	0.00407209	0.997249353377	0.994597827401	1.00404155177	0.00813691938577	0.496693106784	0.309702742079	NA	NA	-0.00231335828389	0.00405666545472	-0.0647406813285	0.113528149656	-0.570261045607	0.715749671279	1.0
6147_2	Reason for glasses/contact lenses: For long-sightedness, i.e. for distance and near, but particularly for near tasks like reading (called 'hypermetropia')	335700	13923	321777	0.0414745	1.1277122123	1.1201732947	1.05179137726	0.00882019651424	5.87190740849	2.15404676084e-09	0.40553190898796215	0.06906306260914859	0.0140750089452	0.00257648249506	0.0710506928806	0.0130060923713	5.46287776928	2.34238592253e-08	1.0
6148_1	Eye problems/disorders: Diabetes related eye disease	108817	2072	106745	0.0190411	1.04811859059	1.04432056938	1.0094486751	0.00846232974498	1.11655718756	0.132091852797	0.19636225799229784	0.17586404008617693	0.0203647822935	0.00704958712209	0.176381503506	0.0610572093414	2.88879078176	0.00193363142784	1.0
6151_2	Fractured bone site(s): Leg	335546	2132	333414	0.00635382	1.01613046693	1.022812624	0.9974999973	0.00837014526061	-0.298680921546	0.617408242331	-0.15498638142486995	0.5189028499794834	0.00340629630425	0.00223541408573	0.0672079378437	0.0441058432706	1.52378761769	0.063780886846	1.0
6150_2	Vascular/heart problems diagnosed by doctor: Angina	336683	10618	326065	0.0315371	1.16905586341	1.14590081796	1.02583233163	0.00983472567989	2.62664485696	0.00431156403292	0.15280352367344746	0.05817441336568351	0.0256907494517	0.00312147055861	0.15602553767	0.0189573730866	8.23033534012	9.33450333928e-17	1.0
6153_4	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Hormone replacement therapy	180203	13365	166838	0.0741664	1.05612890194	1.05709127754	1.00447393825	0.00845816937576	0.528948765247	0.298420496025	0.07970828027715948	0.15069187322898459	0.0140942553756	0.00459002532409	0.0491291475059	0.0159997123079	3.07062693132	0.00106804934699	1.0
6155_100	Vitamin and mineral supplements: None of the above	335591	231424	104167	0.689601	1.19190094657	1.18219760144	1.0082814456	0.00974106375319	0.850158238703	0.197618558113	0.04315479288466912	0.050760894760627444	0.0286522480988	0.00278072420711	0.0492208869801	0.00477692750143	10.3038798402	3.38377402762e-25	1.0
6156_11	Manic/hyper symptoms: I was more active than usual	22133	5569	16564	0.251615	1.01104081382	1.0147523785	0.997225053999	0.00813137114809	-0.341264216127	0.633547657971	-0.2513352770296743	0.7364829511928797	0.048281180942	0.0343360288594	0.0894199473763	0.0635926013783	1.40613759208	0.0798416357421	1.0
6159_2	Pain type(s) experienced in last month: Facial pain	336650	6118	330532	0.0181732	1.0430132103	1.03769923593	0.997003544195	0.00826028879854	-0.362754363435	0.641605807182	-0.0696636169222881	0.1920407414611836	0.00798261100894	0.00247892167686	0.0715054773431	0.0222053257514	3.22019492728	0.000640517294319	1.0
6158_3	Why reduced smoking: Health precaution	10503	4990	5513	0.475102	1.00745151011	1.00720755841	0.991551492354	0.00856869248912	-0.985973957736	0.837927053809	-1.1337980517486033	1.1499269761165514	0.0972654062836	0.0678370847605	0.153000839916	0.106709377387	1.43380875854	0.0758134224365	1.0
6179_4	Mineral and other dietary supplements: Zinc	336314	13151	323163	0.0391033	1.06115536072	1.06159761623	0.998790956849	0.00789329463077	-0.153173447568	0.560869251837	-0.01977002730527507	0.1290695457936596	0.010005650251	0.002067889373	0.0525293741942	0.0108563593512	4.83858101	6.53846971758e-07	1.0
20001_1053	Cancer code, self-reported: non-hodgkins lymphoma	337159	631	336528	0.00187152	0.999410880169	1.00443733086	0.999836508043	0.0084338392385	-0.0193852351298	0.507733105572	NA	NA	-0.000357310919066	0.00215471917244	-0.0187332199219	0.112968358853	-0.165827140556	0.565853506626	1.0
20001_1023	Cancer code, self-reported: rectal cancer	337159	253	336906	0.000750388	1.01070524683	1.01050318316	0.994462953614	0.00880859288349	-0.628596015145	0.735193215107	-0.5172273441938622	0.8228294989663163	0.00250971587017	0.00238984011445	0.281473566742	0.268029074108	1.0501605756	0.146822146026	1.0
20001_1073	Cancer code, self-reported: rodent ulcer	337159	483	336676	0.00143256	1.01407543971	1.0089760723	0.990844374518	0.0115747919715	-0.790996978958	0.785527122796	-0.6504681680605912	0.822339636388738	0.00425262055461	0.00346271771494	0.277860471967	0.226249289398	1.22811644052	0.109701630107	1.0
20001_1048	Cancer code, self-reported: leukaemia	337159	158	337001	0.000468622	0.996704501104	0.99463183667	1.0191259747	0.00809158640885	2.36368664052	0.00904705498653	NA	NA	-0.00425849640346	0.00215294511039	-0.712102357667	0.360013756918	-1.97798651852	0.976034886225	1.0
20002_1412	Non-cancer illness code, self-reported: bronchitis	337159	2482	334677	0.00736151	1.01771271717	1.01605667341	1.00918630848	0.00828276213455	1.10908756435	0.13369620451	0.5186278531658004	0.46761668765750325	0.00184285825261	0.00225585974014	0.0324476828585	0.0397195070851	0.816920582348	0.206986907331	1.0
20002_1311	Non-cancer illness code, self-reported: spine arthritis/spondylitis	337159	2937	334222	0.00871102	1.03002219415	1.03252821209	1.01604219834	0.00817195296242	1.96308011241	0.0248184330079	0.5343446337562561	0.2721970592940037	0.00145670506124	0.00210047946162	0.0225444774813	0.0325077554698	0.693510737838	0.243994544776	1.0
20002_1278	Non-cancer illness code, self-reported: cataract	337159	4702	332457	0.0139459	1.02073210656	1.00993094001	0.997371031997	0.00833482134725	-0.31541983841	0.62377854692	-0.12680660281140543	0.4020248169884995	0.00280874269599	0.00228389555195	0.0305309476792	0.0248258751864	1.22980347923	0.109385352521	1.0
20002_1474	Non-cancer illness code, self-reported: hiatus hernia	337159	7865	329294	0.0233273	1.08620945715	1.08425455463	1.01359615546	0.00906439522945	1.49995174673	0.0668134511423	0.15771071883832094	0.10514386158219549	0.0141078118087	0.00247230769225	0.105707241471	0.0185245472339	5.70633333904	5.77179129743e-09	1.0
20002_1434	Non-cancer illness code, self-reported: other neurological problem	337159	1400	335759	0.00415234	1.00684556969	1.00748434452	1.00480488098	0.00835824469409	0.574867230727	0.282690546799	0.701896437919425	1.2209713833090823	4.08441134939e-05	0.0020828185323	0.00112547350757	0.057392776551	0.0196100202013	0.492177235203	1.0
20002_1223	Non-cancer illness code, self-reported: type 2 diabetes	337159	2133	335026	0.00632639	1.05227244906	1.04605160063	1.00809238481	0.00915340601281	0.884084546917	0.188325287208	0.15481166374313032	0.1751095687431106	0.00700195737626	0.00236950110132	0.13861717555	0.0469088188455	2.95503444686	0.00156317071165	1.0
20002_1196	Non-cancer illness code, self-reported: urinary tract infection/kidney infection	337159	1571	335588	0.00465952	1.00794550267	1.00901926249	0.991037565664	0.00799727277173	-1.12068633798	0.868789300202	-1.1279883363311	1.006515648580968	0.00315460312933	0.00222630487842	0.0793497069529	0.0559996400333	1.41696816097	0.0782461182271	1.0
20002_1073	Non-cancer illness code, self-reported: gestational hypertension/pre-eclampsia	337159	1384	335775	0.00410489	1.01958283759	1.02262219917	0.9976054847	0.008600286896	-0.278422723416	0.609656060958	-0.1222762170846435	0.4391747037894801	0.00386195430721	0.00238944547712	0.107392794639	0.0664454333254	1.61625546353	0.0530195458057	1.0
20002_1482	Non-cancer illness code, self-reported: chronic fatigue syndrome	337159	1532	335627	0.00454385	1.02185396207	1.0213286795	1.00197458507	0.00813023344539	0.24286941832	0.404053278499	0.0903536421234556	0.3720256043292455	0.00385659458354	0.00202504636126	0.0989521736353	0.0519584661593	1.90444755109	0.0284259606489	1.0
20002_1202	Non-cancer illness code, self-reported: urinary frequency / incontinence	337159	1170	335989	0.00347017	1.01104393491	1.01212989378	0.989820958053	0.00877360808672	-1.16018881244	0.87701402955	-0.9216861589381464	0.7944277250858653	0.00362907973833	0.00249778315888	0.115373208486	0.0794078052618	1.45292025268	0.0731229485447	1.0
20002_1093	Non-cancer illness code, self-reported: pulmonary embolism +/- dvt	337159	2801	334358	0.00830765	1.0445141984	1.03964094395	1.01094720341	0.00926867772056	1.18109656411	0.118782182361	0.24592610455042874	0.20821845734142438	0.00544174440042	0.00252975907842	0.0873231793538	0.040594814727	2.1510919545	0.015734471209	1.0
20002_1679	Non-cancer illness code, self-reported: undescended testicle	337159	142	337017	0.000421166	1.0106409312	1.01005610435	1.00637226821	0.00878477401375	0.725376452195	0.234110557591	0.5988449775331314	0.8255644027612413	0.00134694910771	0.00224503368265	0.246748686834	0.411269520073	0.59996832926	0.27426367132	1.0
20002_1293	Non-cancer illness code, self-reported: bone disorder	337159	762	336397	0.00226006	1.01630770316	1.01272514034	0.99590339923	0.00769071341379	-0.532668498922	0.702868462083	-0.2512064837493538	0.47160003690427593	0.00472219177603	0.00221707168165	0.212216212519	0.0996356305456	2.12992291369	0.0165889890316	1.0
20002_1291	Non-cancer illness code, self-reported: mania/bipolar disorder/manic depression	337159	902	336257	0.0026753	1.0376622044	1.04567404692	0.999842877498	0.00800833116924	-0.019619880641	0.507826697786	-0.004171888081919582	0.21263575239074012	0.00532041707121	0.00215863554491	0.208515953377	0.0846005007907	2.46471299139	0.00685615195503	1.0
20002_1464	Non-cancer illness code, self-reported: rheumatoid arthritis	337159	3730	333429	0.011063	1.03543041145	1.03745910407	1.01010774574	0.00833405587036	1.21282433163	0.11259849532	0.28528445837944205	0.235223231376841	0.00448259608292	0.00212868471885	0.0578962863937	0.0274936527505	2.10580554425	0.017610623525	1.0
20002_1327	Non-cancer illness code, self-reported: low platelets/platelet disorder	337159	275	336884	0.000815639	0.998810505524	0.996738586599	1.00136214311	0.00801340737629	0.169983010465	0.432511748943	NA	NA	0.00106314029359	0.00229710289721	0.111147540874	0.240153947413	0.462817880244	0.321747456886	1.0
20002_1382	Non-cancer illness code, self-reported: sjogren's syndrome/sicca syndrome	337159	301	336858	0.000892754	1.00813957228	1.01456569236	1.01147569568	0.00858009731555	1.33747849918	0.0905332479733	1.409864706493399	1.054121398857308	-0.000914356587391	0.00217911383927	-0.0886042947857	0.211163617837	-0.419600192938	0.662611226298	1.0
20002_1567	Non-cancer illness code, self-reported: infectious mononucleosis / glandular fever / epstein barr virus (ebv)	337159	423	336736	0.0012546	1.00199326948	0.993972456208	1.00689868515	0.00816598228806	0.844807753513	0.199109092438	3.4609897103246	4.096777871571448	-0.00184918692375	0.00206523664056	-0.134868664074	0.150626041711	-0.895387427975	0.814709990578	1.0
20002_1267	Non-cancer illness code, self-reported: spinal injury	337159	525	336634	0.00155713	1.01155905889	1.01135439649	0.980660161041	0.0139541404504	-1.38595702316	0.917119986523	-1.6731326602925987	1.2072038543261243	0.00610518350506	0.00407148789559	0.372350338276	0.248316843212	1.49949690669	0.0668723852941	1.0
20002_1238	Non-cancer illness code, self-reported: pituitary adenoma/tumour	337159	214	336945	0.000634715	0.999543127289	1.00120799494	1.00131091911	0.00878671974469	0.149193231244	0.440700580452	NA	NA	-0.000857490366814	0.00220003992774	-0.110788002792	0.28424579341	-0.389761274785	0.651643459107	1.0
20002_1194	Non-cancer illness code, self-reported: renal failure not requiring dialysis	337159	263	336896	0.000780047	1.00958244522	1.01285346202	0.996852361579	0.00809748858126	-0.388717858532	0.651257564931	-0.3284796677450451	0.8450336421012462	0.00208163246094	0.00216950928981	0.225957700339	0.23549658222	0.959494605863	0.168654817893	1.0
20002_1589	Non-cancer illness code, self-reported: pericarditis	337159	80	337079	0.000237277	1.0102156305	1.01145877304	0.998818812248	0.00866969602031	-0.136243271863	0.554185515964	-0.11562553594314907	0.8486696947473023	0.00216074588388	0.00244781238415	0.648654710769	0.734831914249	0.882725284778	0.188692358695	1.0
20002_1441	Non-cancer illness code, self-reported: malaria	337159	377	336782	0.00111817	0.999016615375	0.998607527037	0.984003010764	0.00781819330458	-2.04612352405	0.979627890459	NA	NA	0.00293489902742	0.00223369567681	0.235579721763	0.179295233373	1.31392071798	0.0944364429141	1.0
20002_1650	Non-cancer illness code, self-reported: fracture patella / knee	337159	214	336945	0.000634715	1.00223311744	0.993505404179	1.0230983821	0.00915919863886	2.5218780607	0.00583650824025	10.343559050130821	4.10153020929442	-0.00530170855153	0.00242638227005	-0.684982274484	0.31348928934	-2.1850260847	0.98555653296	1.0
20002_1579	Non-cancer illness code, self-reported: hepatitis b	337159	44	337115	0.000130502	0.999323331458	1.01114118683	0.993142358036	0.00874045752532	-0.784586155186	0.783651874985	NA	NA	0.00144487831242	0.00221277828686	0.729974237492	1.1179288448	0.652970214414	0.256887740489	1.0
20002_1542	Non-cancer illness code, self-reported: fibromyalgia	337159	487	336672	0.00144442	1.01255939533	1.01857649572	1.01112093422	0.00723740520825	1.53659134695	0.0621967064382	0.8854673275475322	0.5762542717067859	0.00154786337712	0.00203560828305	0.100447681354	0.132099599487	0.760393534455	0.223509693438	1.0
20002_1433	Non-cancer illness code, self-reported: cerebral palsy	337159	117	337042	0.000347017	0.999592147936	1.01323549095	1.00247683184	0.00860910064381	0.287699255195	0.386788480099	NA	NA	0.000436539542806	0.00225451821806	0.0944123910579	0.487594902132	0.193628749286	0.42323329276	1.0
20002_1161	Non-cancer illness code, self-reported: gall bladder disease	337159	185	336974	0.000548703	1.0065172461	1.00693229811	0.994215683048	0.00936095969562	-0.617919224148	0.731685706974	-0.8875400533226687	1.436336690360755	0.00235703722845	0.00227238242718	0.344584594667	0.332208574454	1.03725376515	0.149808803534	1.0
20002_1446	Non-cancer illness code, self-reported: anaemia	337159	559	336600	0.00165797	1.00350626876	1.00267577019	0.994670197763	0.00811588024442	-0.656712774953	0.744317190693	-1.520078064933566	2.314677166196322	0.00368994697645	0.00203934600375	0.213704298028	0.118109286922	1.80937759932	0.0351961804115	1.0
20002_1529	Non-cancer illness code, self-reported: dry eyes	337159	465	336694	0.00137917	1.00290524369	1.00792489976	0.995742655595	0.00785935415314	-0.541691381036	0.705984435876	-1.465400103417202	2.70523060679719	0.00120782877086	0.00194659907901	0.0814384618733	0.131250421172	0.620481527954	0.267470405855	1.0
20002_1120	Non-cancer illness code, self-reported: asbestosis	337159	137	337022	0.000406336	1.00193989286	1.00885097491	0.995572987102	0.00835689948324	-0.529743466084	0.701855096532	-2.2820914411134687	4.307918053214264	0.00127464807731	0.00211474647017	0.240778029952	0.399470644487	0.602742737857	0.273339922765	1.0
20002_1435	Non-cancer illness code, self-reported: optic neuritis	337159	121	337038	0.000358881	0.990825502833	0.994129150143	0.988920891069	0.00856553968013	-1.29345135802	0.902072501437	NA	NA	0.000340599457515	0.00225959155228	0.0715666976338	0.474784976401	0.150734966756	0.440092394443	1.0
20002_1594	Non-cancer illness code, self-reported: respiratory infection	337159	75	337084	0.000222447	1.00497980777	1.01013657124	1.00457328274	0.00890971656104	0.513291608294	0.303873676585	0.9183653165983818	1.7891687722140224	0.000926598777951	0.00235566821334	0.294161715263	0.747839754072	0.39334859328	0.347031016213	1.0
20002_1656	Non-cancer illness code, self-reported: fracture toe	337159	224	336935	0.000664375	0.996386008987	1.00346575628	1.00633576007	0.00805727317759	0.786340481654	0.215834021113	NA	NA	-0.00279724502014	0.00213068869224	-0.347699282911	0.264845919848	-1.31283609395	0.90538090763	1.0
20003_1140922174	Treatment/medication code: alendronate sodium	337159	3773	333386	0.0111906	1.05029078874	1.05089456269	0.980229823129	0.011477238062	-1.7225552667	0.95751550982	-0.39311725596147906	0.2282174996414933	0.010750419315	0.00328091461087	0.137660969078	0.0420126761164	3.27665318669	0.000525226561282	1.0
20003_1140923346	Treatment/medication code: co-codamol	337159	7861	329298	0.0233154	1.0845945007	1.08750681318	1.01769555574	0.00866483297516	2.04222698761	0.02056451032	0.20918092308970268	0.1024278517319315	0.00985858563901	0.00233962544046	0.0738951469088	0.0175366905522	4.21374527244	1.2558527465e-05	1.0
20003_1141153006	Treatment/medication code: aprovel 75mg tablet	337159	280	336879	0.000830469	0.990112418315	0.984268313107	0.982904241927	0.00903050819181	-1.89311140741	0.970828472266	NA	NA	0.0020331251854	0.00246114246123	0.209358580004	0.253433135632	0.826090003904	0.204376518837	1.0
20003_1141168318	Treatment/medication code: clopidogrel	337159	2140	335019	0.00634715	1.03177058125	1.01590124954	1.00393279427	0.00751679454575	0.523200979537	0.300417199927	0.123787293608173	0.23659606623378296	0.0048410483198	0.002114436755	0.0955942558101	0.0417529416563	2.28952145688	0.0110245363365	1.0
20003_1187	Treatment/medication code: chondroitin product	337159	4416	332743	0.0130977	1.02197421337	1.01904940337	1.00279645397	0.00850060146906	0.328971306382	0.371088688109	0.1272607088874898	0.3868444038091281	0.00412865846931	0.00219587639484	0.0470119855195	0.0250038868664	1.88018709934	0.0300412915872	1.0
20003_1140864992	Treatment/medication code: tramadol	337159	3724	333435	0.0110452	1.06896326052	1.07245623412	1.0041836466	0.00841115768282	0.49739248226	0.309456152966	0.060664860784083466	0.12196577742475499	0.010915777526	0.00226731844456	0.141156437531	0.0293196333122	4.81439982647	7.38214707528e-07	1.0
20003_1140871266	Treatment/medication code: arthrotec tablet	337159	477	336682	0.00141476	1.01375476532	1.01716441262	1.02516734571	0.00755724636113	3.3302269772	0.000433876082655	1.8297182913247823	0.549427502645543	-0.00345028611862	0.00207100354964	-0.2277809302	0.136723477059	-1.6659972018	0.952143014115	1.0
20003_1141153490	Treatment/medication code: amisulpride	337159	63	337096	0.000186855	1.00400281885	1.01588779996	1.00658944395	0.00957500796966	0.688192006536	0.245665938493	1.6462008900323382	2.3920662756877946	0.000607936519637	0.00241272850756	0.224547239482	0.891164633955	0.251970546099	0.400531915112	1.0
20003_1140884600	Treatment/medication code: metformin	337159	8392	328767	0.0248903	1.22485157057	1.17917044012	1.03852134787	0.0120668801526	3.19232041611	0.000705673380566	0.17131900734625663	0.05366598117212748	0.0294232720937	0.00296402685456	0.210611072379	0.0212164327751	9.9267899845	1.59169442828e-23	1.0
20003_1140879774	Treatment/medication code: alfuzosin	337159	750	336409	0.00222447	0.987108558012	0.987001767916	0.979049908821	0.00763237166895	-2.74489923809	0.996973526027	NA	NA	0.00298863802692	0.00210105181533	0.136057417331	0.095650152711	1.42244851132	0.0774480443518	1.0
20003_1140852948	Treatment/medication code: calcium+vitamin d 500units tablet	337159	1471	335688	0.00436293	1.0061803629	1.00305735997	0.994897666144	0.00766523233415	-0.665646340985	0.747181410625	-0.8255718861158549	1.2402560267874398	0.00290707254052	0.00223294600245	0.0770252798187	0.0591637423083	1.30190006267	0.0964752755292	1.0
20003_1140884464	Treatment/medication code: dihydrocodeine	337159	1205	335954	0.00357398	1.02684875807	1.03383633999	1.01262025252	0.00784430867282	1.60884190672	0.0538254574434	0.47004976880944255	0.29216653721373	0.000525701559232	0.00203810590891	0.0163235102232	0.0632850370249	0.257936330459	0.398228022821	1.0
20003_1140926934	Treatment/medication code: tamsulosin	337159	2831	334328	0.00839663	1.01230905476	1.00554466674	0.99680623854	0.00853933179199	-0.374006015671	0.645800079703	-0.25946439608678007	0.6937439111008691	0.00331650437628	0.00229002663069	0.052787984135	0.036449790422	1.44823834441	0.0737752021031	1.0
20003_1140911734	Treatment/medication code: ginkgo forte tablet	337159	1947	335212	0.00577472	1.01845502188	1.01937271985	1.00055464742	0.00805139092171	0.0688883981478	0.472539226759	0.030054010615457684	0.43627100387770285	0.00220493897288	0.00217225483303	0.0468651709043	0.0461704814734	1.01504618121	0.155041907114	1.0
20003_1140862770	Treatment/medication code: zirtek 10mg tablet	337159	91	337068	0.000269902	1.00421342035	1.00872588525	1.00284137958	0.00868637206587	0.327107744879	0.371793197101	0.6743641376682896	2.061596364580248	0.000788522309722	0.00235778438567	0.211757433588	0.633182301005	0.334433595589	0.369026195877	1.0
20003_1140879760	Treatment/medication code: bisoprolol	337159	4985	332174	0.0147853	1.03839974266	1.03252670551	1.00251147744	0.00895414688427	0.280482046605	0.389553848819	0.06540349673691205	0.23318247113720147	0.00602212507937	0.00232872858956	0.0627013357405	0.0242463235516	2.58601414796	0.00485464725537	1.0
20003_1140923022	Treatment/medication code: arimidex 1mg tablet	337159	602	336557	0.00178551	1.00853380469	1.00256442499	1.01563606836	0.00771625289622	2.02638101239	0.0213628775952	1.8322505521876253	0.9041984409564489	-0.00169197837008	0.00225830039905	-0.0921988352078	0.123058704546	-0.749226440731	0.773139632407	1.0
